#log-age-yr    Mbol      Bmag      Vmag      Kmag      M*_liv     M_remnants    M_ret_gas    M_galaxy      SFR/yr    M*_liv+M_rem   M*_tot/Lb   M*_tot/Lv   M*_tot/Lk   M*_liv/Lb   M*_liv/Lv   M*_liv/Lk
  5.000000   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.149989   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.200002   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.250005   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.300008   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.349996   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.400002   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.450003   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.500003   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.550008   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.600003   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.650006   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.700002   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.749999   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.800002   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.850003   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.900001   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  5.950005   -2.7302    0.7482    1.0109    1.7687   1.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   1.0000E+00   1.3160E-02  3.0503E-02  2.4631E-01  1.3160E-02  3.0503E-02  2.4631E-01
  6.000000   -2.7296    0.7403    1.0029    1.7617   9.9903E-01   0.0000E+00   9.6953E-04   1.0000E+00   0.0000E+00   9.9903E-01   1.3053E-02  3.0252E-02  2.4450E-01  1.3053E-02  3.0252E-02  2.4450E-01
  6.019988   -2.7295    0.7324    0.9950    1.7547   9.9898E-01   0.0000E+00   1.0224E-03   1.0000E+00   0.0000E+00   9.9898E-01   1.2957E-02  3.0030E-02  2.4290E-01  1.2957E-02  3.0030E-02  2.4290E-01
  6.040009   -2.7298    0.7238    0.9863    1.7470   9.9892E-01   0.0000E+00   1.0752E-03   1.0000E+00   0.0000E+00   9.9892E-01   1.2855E-02  2.9790E-02  2.4116E-01  1.2855E-02  2.9790E-02  2.4116E-01
  6.060018   -2.7305    0.7145    0.9769    1.7385   9.9873E-01   0.0000E+00   1.2651E-03   1.0000E+00   0.0000E+00   9.9873E-01   1.2742E-02  2.9527E-02  2.3924E-01  1.2742E-02  2.9527E-02  2.3924E-01
  6.080013   -2.7314    0.7029    0.9649    1.7274   9.9854E-01   0.0000E+00   1.4609E-03   1.0000E+00   0.0000E+00   9.9854E-01   1.2605E-02  2.9196E-02  2.3677E-01  1.2605E-02  2.9196E-02  2.3677E-01
  6.099991   -2.7326    0.6898    0.9512    1.7147   9.9834E-01   0.0000E+00   1.6568E-03   1.0000E+00   0.0000E+00   9.9834E-01   1.2451E-02  2.8824E-02  2.3396E-01  1.2451E-02  2.8824E-02  2.3396E-01
  6.120014   -2.7341    0.6757    0.9366    1.7010   9.9824E-01   0.0000E+00   1.7636E-03   1.0000E+00   0.0000E+00   9.9824E-01   1.2289E-02  2.8435E-02  2.3101E-01  1.2289E-02  2.8435E-02  2.3101E-01
  6.140005   -2.7359    0.6608    0.9210    1.6864   9.9801E-01   0.0000E+00   1.9941E-03   1.0000E+00   0.0000E+00   9.9801E-01   1.2118E-02  2.8023E-02  2.2786E-01  1.2118E-02  2.8023E-02  2.2786E-01
  6.159988   -2.7380    0.6448    0.9043    1.6706   9.9778E-01   0.0000E+00   2.2245E-03   1.0000E+00   0.0000E+00   9.9778E-01   1.1938E-02  2.7590E-02  2.2452E-01  1.1938E-02  2.7590E-02  2.2452E-01
  6.180011   -2.7405    0.6276    0.8865    1.6535   9.9755E-01   0.0000E+00   2.4549E-03   1.0000E+00   0.0000E+00   9.9755E-01   1.1748E-02  2.7134E-02  2.2097E-01  1.1748E-02  2.7134E-02  2.2097E-01
  6.200002   -2.7434    0.6093    0.8674    1.6351   9.9731E-01   0.0000E+00   2.6854E-03   1.0000E+00   0.0000E+00   9.9731E-01   1.1549E-02  2.6656E-02  2.1721E-01  1.1549E-02  2.6656E-02  2.1721E-01
  6.220004   -2.7467    0.5895    0.8469    1.6152   9.9731E-01   0.0000E+00   2.6854E-03   1.0000E+00   0.0000E+00   9.9731E-01   1.1341E-02  2.6157E-02  2.1325E-01  1.1341E-02  2.6157E-02  2.1325E-01
  6.240000   -2.7504    0.5693    0.8261    1.5949   9.9672E-01   0.0000E+00   3.2793E-03   1.0000E+00   0.0000E+00   9.9672E-01   1.1125E-02  2.5646E-02  2.0918E-01  1.1125E-02  2.5646E-02  2.0918E-01
  6.260000   -2.7547    0.5498    0.8064    1.5752   9.9672E-01   0.0000E+00   3.2793E-03   1.0000E+00   0.0000E+00   9.9672E-01   1.0927E-02  2.5185E-02  2.0543E-01  1.0927E-02  2.5185E-02  2.0543E-01
  6.280009   -2.7593    0.5286    0.7849    1.5535   9.9672E-01   0.0000E+00   3.2793E-03   1.0000E+00   0.0000E+00   9.9672E-01   1.0716E-02  2.4690E-02  2.0136E-01  1.0716E-02  2.4690E-02  2.0136E-01
